Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor
1980-07-09,14.758604050,15.027485847,14.639101028,14.698852539,0.978110436,"1,999,115",0.00,0.00,0.066543319
1980-07-10,14.698852539,14.907982826,14.639101028,14.728728294,0.980098468,"1,472,350",0.00,0.00,0.066543319
1980-07-11,14.728728294,15.027485847,14.728728294,14.997610092,0.997990755,"1,804,559",0.00,0.00,0.066543319
1980-07-14,14.997610092,15.535372734,14.997610092,15.535372734,1.033775266,"2,112,083",0.00,0.00,0.066543319
1980-07-15,15.535372734,15.595124245,15.236616135,15.236616135,1.013895011,"2,315,007",0.00,0.00,0.066543319
1980-07-16,15.236616135,15.445746422,15.206740379,15.356119156,1.021847138,"2,210,407",0.00,0.00,0.066543319
1980-07-17,15.356119156,15.684750557,15.296366692,15.684750557,1.043715362,"1,276,120",0.00,0.00,0.066543319
1980-07-18,15.684750557,15.714627266,15.505496979,15.565249443,1.035763362,"1,833,010",0.00,0.00,0.066543319
1980-07-21,15.565249443,15.774378777,15.356119156,15.774378777,1.049679522,"1,829,245",0.00,0.00,0.066543319
1980-07-22,15.774378777,15.804253578,15.475621223,15.565249443,1.035763362,"2,313,752",0.00,0.00,0.066543319
1980-07-23,15.565249443,15.625000000,15.385993958,15.505496979,1.031787234,"1,878,616",0.00,0.00,0.066543319
1980-07-24,15.505496979,15.535372734,15.356119156,15.475621223,1.029799202,"1,662,722",0.00,0.00,0.066543319
1980-07-25,15.445746422,15.445746422,15.266490936,15.385993958,1.023835107,"1,572,347",0.00,0.00,0.066543319
1980-07-28,15.385993958,15.595124245,15.296366692,15.535372734,1.033775266,"1,133,027",0.00,0.00,0.066543319
1980-07-29,15.535372734,15.654875755,15.385993958,15.565249443,1.035763362,"1,717,950",0.00,0.00,0.066543319
1980-07-30,15.565249443,15.774378777,15.565249443,15.654875755,1.041727394,"2,325,049",0.00,0.00,0.066543319
1980-07-31,15.625000000,15.625000000,15.385993958,15.595124245,1.037751330,"2,694,914",0.00,0.00,0.066543319
1980-08-01,15.595124245,15.625000000,15.385993958,15.565249443,1.035763362,"1,885,729",0.00,0.00,0.066543319
1980-08-04,15.535372734,15.535372734,15.415869713,15.475621223,1.029799202,"1,563,142",0.00,0.00,0.066543319
1980-08-05,15.475621223,15.625000000,15.326243401,15.356119156,1.021847138,"1,321,307",0.00,0.00,0.066543319
1980-08-06,15.356119156,15.684750557,15.296366692,15.684750557,1.043715362,"1,676,947",0.00,0.00,0.066543319
1980-08-07,15.684750557,15.714627266,15.475621223,15.714627266,1.045703458,"2,139,698",0.21,0.00,0.066543319
1980-08-08,15.714627266,15.834130287,15.595124245,15.595124245,1.051504858,"3,118,335",0.00,0.00,0.067425231
1980-08-11,15.595124245,15.953633308,15.565249443,15.953633308,1.075677415,"1,775,690",0.00,0.00,0.067425231
1980-08-12,15.953633308,16.252389908,15.864006042,15.953633308,1.075677415,"2,940,934",0.00,0.00,0.067425231
1980-08-13,15.953633308,16.132886887,15.893880844,15.953633308,1.075677415,"1,892,005",0.00,0.00,0.067425231
1980-08-14,15.953633308,16.521272659,15.953633308,16.461519241,1.109921741,"1,977,777",0.00,0.00,0.067425231
1980-08-15,16.461519241,16.521272659,16.312141418,16.431644440,1.107907426,"2,163,128",0.00,0.00,0.067425231
1980-08-18,16.252389908,16.252389908,15.864006042,15.864006042,1.069634276,"2,304,966",0.00,0.00,0.067425231
1980-08-19,15.864006042,16.013383865,15.744503021,15.774378777,1.063591136,"1,891,168",0.00,0.00,0.067425231
1980-08-20,15.774378777,16.222513199,15.744503021,15.983509064,1.077691794,"1,421,723",0.00,0.00,0.067425231
1980-08-21,15.983509064,16.192638397,15.923756599,16.132886887,1.087763629,"1,144,742",0.00,0.00,0.067425231
1980-08-22,16.132886887,16.461519241,16.103010178,16.103010178,1.085749185,"1,713,766",0.00,0.00,0.067425231
1980-08-25,16.103010178,16.132886887,15.923756599,16.043260574,1.081720554,"1,028,846",0.00,0.00,0.067425231
1980-08-26,16.043260574,16.192638397,15.923756599,15.953633308,1.075677415,"1,979,869",0.00,0.00,0.067425231
1980-08-27,15.953633308,16.013383865,15.744503021,15.744503021,1.061576757,"2,476,510",0.00,0.00,0.067425231
1980-08-28,15.744503021,15.774378777,15.505496979,15.535372734,1.047476099,"1,765,230",0.00,0.00,0.067425231
1980-08-29,15.535372734,15.684750557,15.475621223,15.654875755,1.055533618,"1,582,389",0.00,0.00,0.067425231
1980-09-02,15.654875755,15.893880844,15.625000000,15.804253578,1.065605452,"1,222,565",0.00,0.00,0.067425231
1980-09-03,15.804253578,16.132886887,15.804253578,16.132886887,1.087763629,"1,492,851",0.00,0.00,0.067425231
1980-09-04,16.132886887,16.282266617,15.834130287,15.923756599,1.073662971,"2,295,761",0.00,0.00,0.067425231
1980-09-05,15.923756599,16.073135376,15.804253578,15.893880844,1.071648591,"1,002,905",0.00,0.00,0.067425231
1980-09-08,15.893880844,15.923756599,15.356119156,15.356119156,1.035389885,"1,057,297",0.00,0.00,0.067425231
1980-09-09,15.356119156,15.834130287,15.326243401,15.804253578,1.065605452,"1,726,318",0.00,0.00,0.067425231
1980-09-10,15.804253578,15.834130287,15.595124245,15.714627266,1.059562377,"1,575,276",0.00,0.00,0.067425231
1980-09-11,15.714627266,15.864006042,15.714627266,15.864006042,1.069634276,"1,782,384",0.00,0.00,0.067425231
1980-09-12,15.864006042,15.893880844,15.714627266,15.744503021,1.061576757,"1,809,162",0.00,0.00,0.067425231
1980-09-15,15.744503021,15.834130287,15.535372734,15.804253578,1.065605452,"1,363,566",0.00,0.00,0.067425231
1980-09-16,15.804253578,15.864006042,15.595124245,15.684750557,1.057547933,"1,791,589",0.00,0.00,0.067425231
1980-09-17,15.684750557,16.222513199,15.684750557,16.073135376,1.083734869,"3,470,628",0.00,0.00,0.067425231
1980-09-18,16.073135376,16.103010178,15.834130287,15.893880844,1.071648591,"4,292,784",0.00,0.00,0.067425231
1980-09-19,15.893880844,16.132886887,15.834130287,16.013383865,1.079706110,"2,296,179",0.00,0.00,0.067425231
1980-09-22,16.013383865,16.342016220,15.893880844,16.282266617,1.097835591,"2,380,278",0.00,0.00,0.067425231
1980-09-23,16.282266617,16.491395950,15.684750557,15.983509064,1.077691794,"3,844,678",0.00,0.00,0.067425231
1980-09-24,15.983509064,16.252389908,15.953633308,16.132886887,1.087763629,"2,291,577",0.00,0.00,0.067425231
1980-09-25,16.132886887,16.222513199,15.804253578,15.804253578,1.065605452,"2,678,597",0.00,0.00,0.067425231
1980-09-26,15.744503021,15.744503021,15.356119156,15.445746422,1.041433024,"2,896,583",0.00,0.00,0.067425231
1980-09-29,15.356119156,15.356119156,15.146988869,15.236616135,1.027332366,"2,788,218",0.00,0.00,0.067425231
1980-09-30,15.266490936,15.415869713,15.266490936,15.326243401,1.033375505,"2,167,312",0.00,0.00,0.067425231
1980-10-01,15.326243401,15.684750557,15.206740379,15.445746422,1.041433024,"2,531,738",0.00,0.00,0.067425231
1980-10-02,15.445746422,15.625000000,15.326243401,15.625000000,1.053519238,"2,000,370",0.00,0.00,0.067425231
1980-10-03,15.654875755,16.013383865,15.654875755,15.834130287,1.067619896,"2,080,285",0.00,0.00,0.067425231
1980-10-06,15.893880844,16.312141418,15.893880844,16.252389908,1.095821147,"3,090,302",0.00,0.00,0.067425231
1980-10-07,16.252389908,16.312141418,16.043260574,16.192638397,1.091792388,"2,920,432",0.00,0.00,0.067425231
1980-10-08,16.252389908,16.820028305,16.252389908,16.730401993,1.128051223,"4,895,280",0.00,0.00,0.067425231
1980-10-09,16.730401993,16.939531326,16.670650482,16.760276794,1.130065538,"4,958,040",0.00,0.00,0.067425231
1980-10-10,16.760276794,17.088909149,16.521272659,16.551147461,1.115964945,"4,619,136",0.00,0.00,0.067425231
1980-10-13,16.551147461,16.909656525,16.551147461,16.849903107,1.136108613,"1,546,406",0.00,0.00,0.067425231
1980-10-14,16.849903107,16.939531326,16.610898972,16.670650482,1.124022463,"3,005,367",0.00,0.00,0.067425231
1980-10-15,16.640773773,16.820028305,16.640773773,16.820028305,1.134094298,"1,458,961",0.00,0.00,0.067425231
1980-10-16,16.820028305,16.999282837,16.371892929,16.401769638,1.105893110,"3,888,191",0.00,0.00,0.067425231
1980-10-17,16.401769638,16.581022263,16.192638397,16.252389908,1.095821147,"2,333,835",0.00,0.00,0.067425231
